U+F0000||󰀀||U1F004||mahjong_red_dragon
U+F0099||󰂙||U1F1F0-U1F1F3||flag_st._kitts_&_nevis
U+F009A||󰂚||U1F1F0-U1F1F5||flag_north_korea
U+F009B||󰂛||U1F1F0-U1F1F7||flag_south_korea
U+F009C||󰂜||U1F1F0-U1F1FC||flag_kuwait
U+F009D||󰂝||U1F1F0-U1F1FE||flag_cayman_islands
U+F009E||󰂞||U1F1F0-U1F1FF||flag_kazakhstan
U+F009F||󰂟||U1F1F1||l
U+F00A0||󰂠||U1F1F1-U1F1E6||flag_laos
U+F00A1||󰂡||U1F1F1-U1F1E7||flag_lebanon
U+F00A2||󰂢||U1F1F1-U1F1E8||flag_st._lucia
U+F00A3||󰂣||U1F1F1-U1F1EE||flag_liechtenstein
U+F00A4||󰂤||U1F1F1-U1F1F0||flag_sri_lanka
U+F00A5||󰂥||U1F1F1-U1F1F7||flag_liberia
U+F00A6||󰂦||U1F1F1-U1F1F8||flag_lesotho
U+F00A7||󰂧||U1F1F1-U1F1F9||flag_lithuania
U+F00A8||󰂨||U1F1F1-U1F1FA||flag_luxembourg
U+F00A9||󰂩||U1F1F1-U1F1FB||flag_latvia
U+F00AA||󰂪||U1F1F1-U1F1FE||flag_libya
U+F00AB||󰂫||U1F1F2||m
U+F00AC||󰂬||U1F1F2-U1F1E6||flag_morocco
U+F00AD||󰂭||U1F1F2-U1F1E8||flag_monaco
U+F00AE||󰂮||U1F1F2-U1F1E9||flag_moldova
U+F00AF||󰂯||U1F1F2-U1F1EA||flag_montenegro
U+F00B0||󰂰||U1F1F2-U1F1EB||flag_st._martin
U+F00B1||󰂱||U1F1F2-U1F1EC||flag_madagascar
U+F00B2||󰂲||U1F1F2-U1F1ED||flag_marshall_islands
U+F00B3||󰂳||U1F1F2-U1F1F0||flag_north_macedonia
U+F00B4||󰂴||U1F1F2-U1F1F1||flag_mali
U+F00B5||󰂵||U1F1F2-U1F1F2||flag_myanmar_(burma)
U+F00B6||󰂶||U1F1F2-U1F1F3||flag_mongolia
U+F00B7||󰂷||U1F1F2-U1F1F4||flag_macao_sar_china
U+F00B8||󰂸||U1F1F2-U1F1F5||flag_northern_mariana_islands
U+F00B9||󰂹||U1F1F2-U1F1F6||flag_martinique
U+F00BA||󰂺||U1F1F2-U1F1F7||flag_mauritania
U+F00BB||󰂻||U1F1F2-U1F1F8||flag_montserrat
U+F00BC||󰂼||U1F1F2-U1F1F9||flag_malta
U+F00BD||󰂽||U1F1F2-U1F1FA||flag_mauritius
U+F00BE||󰂾||U1F1F2-U1F1FB||flag_maldives
U+F00BF||󰂿||U1F1F2-U1F1FC||flag_malawi
U+F00C0||󰃀||U1F1F2-U1F1FD||flag_mexico
U+F00C1||󰃁||U1F1F2-U1F1FE||flag_malaysia
U+F00C2||󰃂||U1F1F2-U1F1FF||flag_mozambique
U+F00C3||󰃃||U1F1F3||n
U+F00C4||󰃄||U1F1F3-U1F1E6||flag_namibia
U+F00C5||󰃅||U1F1F3-U1F1E8||flag_new_caledonia
U+F00C6||󰃆||U1F1F3-U1F1EA||flag_niger
U+F00C7||󰃇||U1F1F3-U1F1EB||flag_norfolk_island
U+F00C8||󰃈||U1F1F3-U1F1EC||flag_nigeria
U+F00C9||󰃉||U1F1F3-U1F1EE||flag_nicaragua
U+F00CA||󰃊||U1F1F3-U1F1F1||flag_netherlands
U+F00CB||󰃋||U1F1F3-U1F1F4||flag_norway
U+F00CC||󰃌||U1F1F3-U1F1F5||flag_nepal
U+F00CD||󰃍||U1F1F3-U1F1F7||flag_nauru
U+F00CE||󰃎||U1F1F3-U1F1FA||flag_niue
U+F00CF||󰃏||U1F1F3-U1F1FF||flag_new_zealand
U+F00D0||󰃐||U1F1F4||o
U+F00D1||󰃑||U1F1F4-U1F1F2||flag_oman
U+F00D2||󰃒||U1F1F5||p
U+F00D3||󰃓||U1F1F5-U1F1E6||flag_panama
U+F00D4||󰃔||U1F1F5-U1F1EA||flag_peru
U+F00D5||󰃕||U1F1F5-U1F1EB||flag_french_polynesia
U+F00D6||󰃖||U1F1F5-U1F1EC||flag_papua_new_guinea
U+F00D7||󰃗||U1F1F5-U1F1ED||flag_philippines
U+F00D8||󰃘||U1F1F5-U1F1F0||flag_pakistan
U+F00D9||󰃙||U1F1F5-U1F1F1||flag_poland
U+F00DA||󰃚||U1F1F5-U1F1F2||flag_st._pierre_&_miquelon
U+F00DB||󰃛||U1F1F5-U1F1F3||flag_pitcairn_islands
U+F00DC||󰃜||U1F1F5-U1F1F7||flag_puerto_rico
U+F00DD||󰃝||U1F1F5-U1F1F8||flag_palestinian_territories
U+F00DE||󰃞||U1F1F5-U1F1F9||flag_portugal
U+F00DF||󰃟||U1F1F5-U1F1FC||flag_palau
U+F00E0||󰃠||U1F1F5-U1F1FE||flag_paraguay
U+F00E1||󰃡||U1F1F6||q
U+F00E2||󰃢||U1F1F6-U1F1E6||flag_qatar
U+F00E3||󰃣||U1F1F7||r
U+F00E4||󰃤||U1F1F7-U1F1EA||flag_réunion
U+F00E5||󰃥||U1F1F7-U1F1F4||flag_romania
U+F00E6||󰃦||U1F1F7-U1F1F8||flag_serbia
U+F00E7||󰃧||U1F1F7-U1F1FA||flag_russia
U+F00E8||󰃨||U1F1F7-U1F1FC||flag_rwanda
U+F00E9||󰃩||U1F1F8||s
U+F00EA||󰃪||U1F1F8-U1F1E6||flag_saudi_arabia
U+F00EB||󰃫||U1F1F8-U1F1E7||flag_solomon_islands
U+F00EC||󰃬||U1F1F8-U1F1E8||flag_seychelles
U+F00ED||󰃭||U1F1F8-U1F1E9||flag_sudan
U+F00EE||󰃮||U1F1F8-U1F1EA||flag_sweden
U+F00EF||󰃯||U1F1F8-U1F1EC||flag_singapore
U+F00F0||󰃰||U1F1F8-U1F1ED||flag_st._helena
U+F00F1||󰃱||U1F1F8-U1F1EE||flag_slovenia
U+F00F2||󰃲||U1F1F8-U1F1EF||flag_svalbard_&_jan_mayen
U+F00F3||󰃳||U1F1F8-U1F1F0||flag_slovakia
U+F00F4||󰃴||U1F1F8-U1F1F1||flag_sierra_leone
U+F00F5||󰃵||U1F1F8-U1F1F2||flag_san_marino
